SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
0.000000,0.000000,3.917735,20.106028,-16.681063,0.478991,0.136990,-0.004550,1.204723
1.000000,0.000000,3.809862,20.083310,-16.793831,0.479375,0.134964,0.001592,1.204723
2.000000,0.000000,3.851298,19.988454,-16.596453,0.473513,0.135952,-0.004478,1.204723
3.000000,0.000000,3.804891,20.041558,-16.682665,0.475323,0.134908,-0.003239,1.203756
4.000000,0.000000,3.831961,20.102004,-16.707322,0.473251,0.132816,-0.007975,1.205045
5.000000,0.000000,3.910991,20.126683,-16.692105,0.471911,0.128557,-0.012916,1.204723
6.000000,0.000000,3.939773,20.145879,-16.568869,0.471584,0.126601,-0.003784,1.204401
7.000000,0.000000,3.949308,20.117105,-16.763470,0.470432,0.131468,-0.004548,1.203111
8.000000,0.000000,3.976378,20.212201,-16.836321,0.471679,0.132775,-0.018585,1.203756
9.000000,0.000000,4.051996,20.155370,-16.758077,0.469687,0.126667,0.003605,1.205045
10.000000,0.000000,3.973771,20.177825,-16.807916,0.471135,0.117973,-0.025124,1.201177
11.000000,0.000000,3.970495,20.131764,-16.883793,0.467940,0.116694,-0.004529,1.213749
12.000000,0.000000,3.725208,20.015309,-16.925413,0.466745,0.119474,-0.015513,1.206335
13.000000,0.000000,3.737683,20.100082,-16.806157,0.467149,0.114311,-0.001030,1.205368
14.000000,0.000000,3.744822,20.098731,-16.745819,0.470872,0.108847,-0.016325,1.205368
15.000000,0.000000,3.743892,20.018013,-16.810593,0.471021,0.102984,-0.009424,1.206012
16.000000,0.000000,3.698739,20.051378,-16.812613,0.474458,0.103998,-0.008085,1.204723
17.000000,0.000000,3.704835,20.029259,-16.801854,0.476700,0.115904,-0.020732,1.205045
18.000000,0.000000,3.737650,20.053278,-16.706513,0.477862,0.122214,0.007578,1.204723
19.000000,0.000000,3.937017,20.152307,-16.781955,0.481351,0.118413,-0.019781,1.204401
20.000000,0.000000,4.044348,20.074549,-17.008718,0.480009,0.115252,-0.006362,1.205045
21.000000,0.000000,3.914972,20.172172,-16.740034,0.486628,0.115389,-0.000354,1.203111
22.000000,0.000000,3.889300,20.172118,-16.736566,0.488718,0.127347,-0.030532,1.209558
23.000000,0.000000,3.853607,20.084763,-16.705240,0.488484,0.128157,-0.002500,1.204401
24.000000,0.000000,3.805535,20.071115,-16.823623,0.490239,0.128095,-0.007020,1.205045
25.000000,0.000000,3.827892,20.047641,-16.594583,0.491078,0.121801,-0.031208,1.204401
26.000000,0.000000,3.781826,19.951520,-16.737036,0.490101,0.123898,-0.000201,1.205368
27.000000,0.000000,3.696796,19.929422,-16.810986,0.487135,0.132237,-0.013069,1.205045
28.000000,0.000000,3.836754,19.996264,-16.882034,0.486656,0.133025,-0.020121,1.204723
29.000000,0.000000,3.965026,19.948042,-16.766174,0.485063,0.130430,-0.002712,1.203111
30.000000,0.000000,3.985320,20.060880,-16.674247,0.484264,0.129529,-0.001296,1.204078
31.000000,0.000000,4.105960,20.107365,-16.904094,0.478496,0.134937,-0.014162,1.199888
32.000000,0.000000,4.038400,20.090207,-16.905417,0.479405,0.136223,-0.003195,1.209558
33.000000,0.000000,3.971001,20.115890,-16.876502,0.478912,0.132652,0.002144,1.204723
34.000000,0.000000,3.981327,20.124204,-16.750119,0.474716,0.119956,-0.024732,1.204401
35.000000,0.000000,3.961819,20.018987,-16.914312,0.473859,0.115557,-0.003818,1.205045
36.000000,0.000000,3.625881,20.065545,-16.950485,0.475264,0.118484,-0.009807,1.208914
37.000000,0.000000,3.611019,20.023391,-16.827256,0.474244,0.115292,-0.021405,1.205690
38.000000,0.000000,3.665835,19.945570,-16.952806,0.472843,0.114565,-0.003406,1.205690
39.000000,0.000000,3.693723,20.022794,-16.939615,0.474690,0.111398,-0.004265,1.194730
40.000000,0.000000,3.854433,20.108440,-16.956907,0.477068,0.117557,-0.013488,1.206012
41.000000,0.000000,3.951241,20.036618,-16.795374,0.473412,0.126755,-0.001111,1.206012
42.000000,0.000000,3.960230,20.162186,-16.763537,0.474992,0.134380,-0.003081,1.204401
43.000000,0.000000,4.047431,20.236639,-17.038087,0.475130,0.132231,-0.017630,1.205690
44.000000,0.000000,4.042216,20.279821,-16.857351,0.474333,0.129733,-0.005917,1.205690
45.000000,0.000000,4.035236,20.239899,-16.786534,0.475442,0.126021,-0.009282,1.206335
46.000000,0.000000,3.905165,20.137944,-16.787329,0.472549,0.124549,-0.022796,1.204723
47.000000,0.000000,3.733625,20.145701,-16.843938,0.472503,0.121500,-0.008589,1.205045
48.000000,0.000000,3.652940,20.048414,-16.588093,0.472370,0.119944,-0.013046,1.200532
49.000000,0.000000,3.683250,20.038597,-16.607240,0.472031,0.115972,-0.021122,1.206657
50.000000,0.000000,3.757273,19.959706,-16.759947,0.477476,0.117193,-0.006264,1.207624
51.000000,0.000000,3.677958,19.979369,-16.773828,0.475686,0.128824,-0.008060,1.205045
52.000000,0.000000,3.835400,19.919954,-16.851003,0.477733,0.133843,-0.014858,1.205690
53.000000,0.000000,3.932040,19.964306,-16.552956,0.479057,0.132072,0.000638,1.205368
54.000000,0.000000,4.036611,20.018720,-16.849935,0.483640,0.126599,-0.015351,1.191184
55.000000,0.000000,4.177450,20.013022,-16.843877,0.487603,0.124789,-0.013544,1.203111
56.000000,0.000000,4.115962,20.057263,-16.659858,0.484711,0.125094,-0.003532,1.207946
57.000000,0.000000,3.905597,20.068992,-16.690039,0.489749,0.125515,-0.016931,1.206012
58.000000,0.000000,3.903144,20.018220,-16.878878,0.492697,0.122164,-0.015264,1.208914
59.000000,0.000000,3.865730,19.982177,-17.076288,0.495003,0.110255,-0.008269,1.206657
60.000000,0.000000,3.795172,19.997847,-17.011327,0.492298,0.107419,-0.011158,1.205368
61.000000,0.000000,3.812034,20.023593,-16.881479,0.495971,0.113289,-0.028761,1.204078
62.000000,0.000000,3.631528,19.989960,-17.076099,0.490814,0.121376,0.006391,1.200855
63.000000,0.000000,3.666460,20.091965,-16.915412,0.489970,0.119985,-0.022606,1.207624
64.000000,0.000000,3.868473,20.176500,-16.900668,0.487451,0.113396,-0.012336,1.206012
65.000000,0.000000,3.951405,20.101009,-16.932872,0.483484,0.111639,-0.000596,1.209236
66.000000,0.000000,3.849750,20.160764,-17.114872,0.484860,0.123282,-0.014646,1.207624
67.000000,0.000000,3.877843,20.104067,-16.861811,0.477298,0.130927,0.001159,1.209881
68.000000,0.000000,3.875864,20.080989,-16.644933,0.481465,0.132967,-0.012622,1.205368
69.000000,0.000000,3.975040,19.994314,-16.745917,0.476178,0.128253,0.004171,1.206979
70.000000,0.000000,3.953437,19.949729,-16.744140,0.478564,0.130188,-0.022161,1.205045
71.000000,0.000000,3.901692,19.897928,-16.697738,0.474333,0.135294,0.003437,1.206657
72.000000,0.000000,3.854734,19.863663,-16.686201,0.476122,0.139122,-0.017701,1.205368
73.000000,0.000000,3.865648,19.948048,-16.917117,0.475510,0.132409,-0.013683,1.205368
74.000000,0.000000,3.918373,20.015704,-16.968415,0.473232,0.129605,0.001586,1.197309
75.000000,0.000000,3.879741,20.094240,-16.797526,0.479110,0.127184,-0.029537,1.207302
76.000000,0.000000,3.915124,20.070098,-16.845950,0.475945,0.128469,-0.000614,1.221485
77.000000,0.000000,3.829925,20.163020,-16.990477,0.481607,0.129279,-0.016855,1.205368
78.000000,0.000000,3.909399,20.219837,-17.026820,0.479409,0.124600,0.002128,1.207624
79.000000,0.000000,3.979235,20.146855,-16.743112,0.485809,0.127260,-0.012308,1.205368
