SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
0.000000,0.000000,3.855322,19.028560,-16.859353,0.607964,0.139199,-0.013570,0.479114
1.000000,0.000000,3.833243,19.091671,-16.963230,0.607519,0.135555,-0.006584,0.478469
2.000000,0.000000,3.875082,19.113342,-16.860985,0.607114,0.135500,-0.023345,0.477825
3.000000,0.000000,3.899292,19.046027,-16.894811,0.604871,0.134043,-0.013297,0.479114
4.000000,0.000000,3.788280,19.094783,-16.912738,0.606129,0.135252,-0.013645,0.476858
5.000000,0.000000,3.849884,19.042920,-16.811779,0.604049,0.134573,-0.005406,0.474279
6.000000,0.000000,3.967703,19.023681,-16.956644,0.604256,0.136841,-0.023946,0.481048
7.000000,0.000000,3.875919,19.104988,-16.939720,0.603960,0.139875,-0.002580,0.482337
8.000000,0.000000,3.908713,19.037471,-16.918224,0.601119,0.141274,-0.019902,0.479114
9.000000,0.000000,3.986737,19.087961,-16.931043,0.598932,0.143168,-0.009984,0.478792
10.000000,0.000000,3.984215,19.069975,-16.953518,0.599387,0.137042,-0.015027,0.479759
11.000000,0.000000,3.887473,19.148977,-16.946449,0.602656,0.139402,-0.014227,0.479114
12.000000,0.000000,3.919033,19.132407,-16.936613,0.597020,0.137130,-0.007363,0.479114
13.000000,0.000000,3.887081,19.116512,-16.814323,0.597727,0.134156,-0.021385,0.479436
14.000000,0.000000,3.852030,19.121371,-16.847057,0.595379,0.135151,-0.003652,0.480726
15.000000,0.000000,3.803449,19.144287,-16.884953,0.600140,0.133306,-0.017266,0.480081
16.000000,0.000000,3.844522,19.062876,-16.896396,0.594944,0.135624,-0.006808,0.478792
17.000000,0.000000,3.876338,19.046057,-16.879167,0.597135,0.136678,-0.014170,0.479759
18.000000,0.000000,3.865853,19.069296,-16.799404,0.600391,0.135918,-0.005703,0.479436
19.000000,0.000000,3.924523,19.056088,-16.890596,0.600553,0.134977,-0.014034,0.478469
20.000000,0.000000,3.926179,19.013334,-16.885413,0.601150,0.133142,-0.001824,0.479436
21.000000,0.000000,3.896972,19.043457,-16.917899,0.599675,0.132285,-0.015891,0.479114
22.000000,0.000000,3.894558,19.108118,-16.820592,0.607465,0.135040,-0.011290,0.476858
23.000000,0.000000,3.889247,19.133928,-16.898376,0.604442,0.130762,-0.002043,0.479759
24.000000,0.000000,3.841419,19.077903,-16.791111,0.607289,0.131269,-0.017921,0.468476
25.000000,0.000000,3.876849,19.070943,-16.968672,0.605835,0.127280,-0.015123,0.478147
26.000000,0.000000,3.822251,19.081232,-16.877327,0.609397,0.131655,0.002288,0.478792
27.000000,0.000000,3.817317,19.045829,-16.926333,0.609780,0.131195,-0.022592,0.480081
28.000000,0.000000,3.823204,19.097638,-16.924478,0.609182,0.134166,-0.001561,0.480081
29.000000,0.000000,3.841984,18.965255,-16.898282,0.608097,0.133920,-0.012139,0.480726
30.000000,0.000000,3.872439,19.012987,-16.947364,0.609402,0.135681,-0.005770,0.485883
31.000000,0.000000,3.913072,19.033222,-16.869495,0.610865,0.138228,-0.015024,0.479436
32.000000,0.000000,3.926507,19.049260,-16.810551,0.607240,0.136662,-0.007298,0.489429
33.000000,0.000000,3.864368,19.080875,-16.907694,0.607225,0.139894,-0.016696,0.479436
34.000000,0.000000,3.885195,19.110731,-16.905349,0.605481,0.140914,-0.014251,0.479114
35.000000,0.000000,3.937412,19.105299,-16.874449,0.604659,0.137603,-0.005525,0.480726
36.000000,0.000000,3.861336,19.133717,-16.829173,0.605298,0.141223,-0.027944,0.479759
37.000000,0.000000,3.922895,19.019160,-16.878756,0.601295,0.140026,-0.005548,0.477180
38.000000,0.000000,3.896067,19.054954,-16.838564,0.603621,0.139227,-0.020220,0.477825
39.000000,0.000000,3.923532,19.028973,-16.768337,0.600457,0.141218,-0.009777,0.481048
40.000000,0.000000,3.964356,19.020047,-16.843253,0.600426,0.139784,-0.020843,0.480081
41.000000,0.000000,3.880943,19.104426,-16.854686,0.600885,0.138827,-0.009833,0.482337
42.000000,0.000000,3.908183,19.118573,-16.904729,0.599435,0.137157,-0.011548,0.481370
43.000000,0.000000,3.914682,19.113787,-16.855005,0.599373,0.136242,-0.017338,0.480081
44.000000,0.000000,3.870560,19.153064,-16.997316,0.595826,0.134822,-0.003999,0.480403
45.000000,0.000000,3.834368,19.201824,-16.957096,0.600186,0.135878,-0.015056,0.464931
46.000000,0.000000,3.933998,19.131384,-16.874180,0.597425,0.132425,-0.010292,0.498777
47.000000,0.000000,3.953193,19.089880,-16.818842,0.601389,0.131255,-0.017247,0.480726
48.000000,0.000000,3.832788,19.101584,-16.856578,0.596059,0.135111,0.000818,0.481693
49.000000,0.000000,3.839021,19.083377,-16.922699,0.598277,0.136118,-0.012963,0.486850
50.000000,0.000000,3.892838,19.016962,-16.858696,0.601458,0.134828,-0.012754,0.480403
51.000000,0.000000,3.872312,19.026467,-16.777967,0.600551,0.131997,-0.009196,0.481370
52.000000,0.000000,3.842676,19.005894,-16.886789,0.603369,0.135050,0.003259,0.481048
53.000000,0.000000,3.894799,19.016490,-16.782498,0.602157,0.136137,-0.017540,0.479114
54.000000,0.000000,3.863117,19.053136,-16.903168,0.605386,0.135940,-0.001035,0.478792
55.000000,0.000000,3.782683,19.053638,-16.762149,0.603450,0.134116,-0.014179,0.482015
56.000000,0.000000,3.879880,19.059962,-16.866536,0.609901,0.133380,-0.001920,0.480403
57.000000,0.000000,3.880956,19.001206,-16.929188,0.606912,0.135275,-0.007666,0.481048
58.000000,0.000000,3.847461,19.021773,-16.897169,0.609978,0.136007,-0.013840,0.481693
59.000000,0.000000,3.881996,19.046373,-16.924318,0.612839,0.136053,-0.001881,0.482015
60.000000,0.000000,3.895040,19.000161,-16.866905,0.613971,0.134039,-0.023523,0.482337
61.000000,0.000000,4.042422,18.909522,-16.954254,0.611965,0.137660,0.008521,0.481693
62.000000,0.000000,3.843865,19.048954,-16.868780,0.613670,0.141214,-0.025335,0.480726
63.000000,0.000000,3.969748,19.010116,-16.884088,0.612243,0.141714,-0.000216,0.479114
64.000000,0.000000,3.926198,18.990407,-16.862446,0.613659,0.138376,-0.019503,0.478147
65.000000,0.000000,3.854340,19.047472,-16.831722,0.608822,0.133970,-0.010279,0.481048
66.000000,0.000000,3.904054,19.060289,-16.939018,0.608841,0.133404,-0.021033,0.474923
67.000000,0.000000,3.861463,19.071466,-16.764380,0.611233,0.135798,-0.014617,0.482015
68.000000,0.000000,3.801856,19.036219,-16.901568,0.605444,0.137947,-0.010939,0.482015
69.000000,0.000000,3.819702,19.003998,-16.805685,0.609522,0.134801,-0.028421,0.477502
70.000000,0.000000,3.904910,18.977738,-16.905864,0.602814,0.130692,-0.002825,0.483305
71.000000,0.000000,3.843881,18.983537,-16.806804,0.607828,0.132799,-0.019669,0.481370
72.000000,0.000000,3.909049,18.921868,-16.727757,0.601429,0.132006,-0.015750,0.486206
73.000000,0.000000,3.893022,18.930829,-16.878614,0.606543,0.135146,-0.013625,0.482015
74.000000,0.000000,3.927275,19.025735,-16.749889,0.602924,0.136522,-0.002600,0.481693
75.000000,0.000000,3.970253,19.038983,-16.930776,0.605790,0.129412,-0.030158,0.481693
76.000000,0.000000,3.943771,19.056749,-16.787575,0.603729,0.132608,0.003460,0.481693
77.000000,0.000000,3.811385,19.090781,-16.936213,0.604231,0.134927,-0.016816,0.481693
78.000000,0.000000,3.803603,19.185493,-16.847935,0.607162,0.133997,-0.006604,0.481370
79.000000,0.000000,3.872776,19.099015,-16.847722,0.602372,0.129674,-0.010717,0.481048
80.000000,0.000000,3.862329,19.063768,-16.839675,0.608313,0.134009,-0.008115,0.470088
81.000000,0.000000,3.877362,19.050638,-16.782822,0.599711,0.134624,-0.013068,0.483305
82.000000,0.000000,3.888677,19.001347,-16.852586,0.609709,0.139567,0.002380,0.476535
83.000000,0.000000,3.926408,18.970089,-16.857558,0.604212,0.137881,-0.008599,0.481048
84.000000,0.000000,3.948153,18.982142,-16.821005,0.606762,0.142218,-0.014077,0.481048
85.000000,0.000000,3.942706,18.959026,-16.837569,0.603342,0.142159,0.011534,0.481370
86.000000,0.000000,3.932134,19.016798,-16.937541,0.605325,0.141751,-0.011696,0.481693
87.000000,0.000000,4.035578,19.005673,-16.844146,0.606392,0.142415,-0.014096,0.482660
88.000000,0.000000,3.913109,19.017319,-16.897108,0.604547,0.141325,0.002391,0.485239
89.000000,0.000000,3.884982,19.009311,-16.937975,0.606854,0.143639,-0.005769,0.485561
90.000000,0.000000,4.038000,19.030531,-16.958151,0.605613,0.143842,-0.023811,0.480081
91.000000,0.000000,3.946759,18.984962,-16.882704,0.608378,0.141547,0.007402,0.480403
92.000000,0.000000,3.850213,18.996248,-16.943549,0.604384,0.144578,-0.016695,0.482337
93.000000,0.000000,3.997830,18.921602,-16.921598,0.607047,0.140672,-0.020689,0.498455
94.000000,0.000000,3.912970,18.983777,-16.994221,0.606514,0.136408,-0.006066,0.480726
95.000000,0.000000,3.899454,18.960678,-16.836481,0.609026,0.136971,-0.015932,0.484272
96.000000,0.000000,3.974515,18.954868,-16.883492,0.608331,0.138146,-0.019683,0.478147
97.000000,0.000000,3.991123,18.980957,-16.844567,0.607225,0.144277,-0.002709,0.476213
98.000000,0.000000,3.867602,19.027603,-16.850926,0.609627,0.139770,-0.019620,0.483305
99.000000,0.000000,3.912356,19.124750,-16.769267,0.607424,0.136145,-0.010022,0.482015
100.000000,0.000000,3.934853,19.066949,-16.876329,0.609322,0.129382,-0.015907,0.482015
101.000000,0.000000,3.825633,19.051158,-16.849291,0.605515,0.132018,0.000238,0.481370
102.000000,0.000000,3.802472,19.083682,-16.915733,0.606719,0.131198,-0.027334,0.480403
103.000000,0.000000,3.833738,18.998537,-16.877632,0.607239,0.129337,-0.004664,0.481048
104.000000,0.000000,3.793978,18.972016,-16.797126,0.607331,0.126731,-0.009454,0.479114
105.000000,0.000000,3.834733,18.927408,-16.929044,0.606902,0.126683,-0.019060,0.489429
