SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
66.000000,0.000000,3.944078,18.310504,-17.042143,0.691072,0.146264,-0.007658,0.021378
67.000000,0.000000,3.972486,18.355064,-17.071352,0.687684,0.146835,-0.018007,0.021701
68.000000,0.000000,4.007261,18.333040,-17.023816,0.692577,0.147357,-0.015022,0.022345
69.000000,0.000000,3.945229,18.307895,-17.072052,0.686355,0.146756,-0.005638,0.030404
70.000000,0.000000,3.902260,18.355144,-17.135132,0.692840,0.145696,-0.020090,0.025891
71.000000,0.000000,4.034290,18.330619,-16.994825,0.686660,0.147430,-0.009595,0.021378
72.000000,0.000000,3.977963,18.296944,-16.965888,0.691619,0.147187,-0.010594,0.017188
73.000000,0.000000,3.906816,18.340069,-17.209539,0.687674,0.144300,-0.000357,0.021056
74.000000,0.000000,3.996231,18.360905,-16.883053,0.690521,0.143827,-0.029630,0.019444
75.000000,0.000000,3.993603,18.254227,-16.998094,0.686362,0.145817,0.004640,0.018799
76.000000,0.000000,3.875464,18.325588,-17.014714,0.687024,0.146196,-0.018726,0.022345
77.000000,0.000000,3.981394,18.341963,-16.964948,0.690989,0.147568,-0.010293,0.022023
78.000000,0.000000,4.068265,18.331659,-17.053051,0.686721,0.146679,-0.014186,0.020411
79.000000,0.000000,3.925939,18.278515,-16.999032,0.689739,0.147067,-0.009844,0.019122
80.000000,0.000000,3.974964,18.365043,-16.954239,0.687980,0.147905,-0.011589,0.032016
81.000000,0.000000,4.026988,18.322516,-17.046888,0.692494,0.148804,-0.018184,0.015898
82.000000,0.000000,3.962618,18.269237,-17.151850,0.685948,0.150490,-0.000572,0.021378
83.000000,0.000000,3.928383,18.330833,-16.919381,0.689706,0.150919,-0.019934,0.022345
84.000000,0.000000,4.033843,18.343133,-17.103454,0.688023,0.148380,-0.005929,0.021701
85.000000,0.000000,3.929831,18.340317,-17.137114,0.688694,0.149758,-0.012048,0.022990
86.000000,0.000000,3.910215,18.333980,-16.929924,0.687802,0.148284,-0.010719,0.023312
87.000000,0.000000,3.991271,18.435992,-17.118611,0.687739,0.150019,-0.008168,0.035239
88.000000,0.000000,4.009676,18.336374,-17.013625,0.690497,0.148034,-0.012296,0.022990
89.000000,0.000000,3.945284,18.338489,-16.971236,0.685755,0.146813,-0.008705,0.015576
90.000000,0.000000,4.004440,18.330640,-17.003332,0.690671,0.150538,-0.009704,0.021701
91.000000,0.000000,4.024517,18.327994,-16.942738,0.682860,0.146678,-0.015243,0.021378
92.000000,0.000000,3.976115,18.283662,-17.042611,0.688247,0.151971,-0.010121,0.023312
93.000000,0.000000,3.990092,18.336297,-16.935586,0.687895,0.149581,-0.014058,0.022668
94.000000,0.000000,4.016432,18.347801,-17.069642,0.688075,0.148893,-0.009534,0.022345
95.000000,0.000000,4.003400,18.341962,-17.064024,0.688725,0.145458,-0.025082,0.027503
96.000000,0.000000,3.958463,18.389644,-17.021724,0.687094,0.147064,-0.006359,0.022668
97.000000,0.000000,3.936397,18.387894,-16.996355,0.689696,0.148630,-0.018874,0.042653
98.000000,0.000000,3.952677,18.360561,-16.947909,0.687904,0.145892,-0.014323,0.021701
99.000000,0.000000,3.952667,18.294331,-17.081615,0.688795,0.146818,-0.008945,0.022345
100.000000,0.000000,3.939168,18.353305,-16.943666,0.684759,0.149042,-0.006694,0.022345
101.000000,0.000000,3.998863,18.359566,-16.909707,0.684883,0.147737,-0.019548,0.023635
102.000000,0.000000,3.974678,18.320297,-17.078873,0.688898,0.149554,-0.006350,0.022023
103.000000,0.000000,3.899292,18.311784,-17.037251,0.684277,0.147164,-0.010963,0.026214
104.000000,0.000000,3.990123,18.382770,-17.013972,0.689396,0.146974,-0.013571,0.022023
105.000000,0.000000,4.016394,18.323894,-16.946258,0.686545,0.145965,-0.011634,0.022345
106.000000,0.000000,3.914731,18.342617,-17.039465,0.688879,0.147882,-0.008499,0.022023
107.000000,0.000000,3.977924,18.346434,-16.956451,0.688936,0.145722,-0.018074,0.022345
108.000000,0.000000,3.964127,18.372901,-16.948090,0.690149,0.147942,-0.003089,0.021701
109.000000,0.000000,3.946020,18.317296,-17.025803,0.689753,0.144219,-0.016595,0.023635
110.000000,0.000000,3.941802,18.361743,-17.066376,0.689616,0.144945,-0.020152,0.022668
111.000000,0.000000,3.988111,18.327759,-16.970970,0.688942,0.148899,-0.005550,0.022990
112.000000,0.000000,3.916644,18.320894,-16.921747,0.689302,0.148935,-0.012741,0.022023
113.000000,0.000000,3.976441,18.296934,-17.013292,0.688829,0.147998,-0.011004,0.021701
114.000000,0.000000,3.966704,18.359570,-16.963388,0.688856,0.147720,-0.012732,0.032660
115.000000,0.000000,3.905742,18.292221,-17.014022,0.688691,0.149758,0.007020,0.019444
116.000000,0.000000,3.943810,18.315654,-16.987048,0.689557,0.149245,-0.024087,0.020411
117.000000,0.000000,4.043001,18.332602,-16.996174,0.688784,0.147786,-0.003980,0.021378
118.000000,0.000000,3.941460,18.305408,-16.954745,0.688448,0.147873,-0.018645,0.024924
119.000000,0.000000,3.887023,18.382472,-17.118693,0.693810,0.147803,-0.001223,0.020089
120.000000,0.000000,4.018188,18.339027,-17.041582,0.690783,0.144034,-0.023949,0.024602
