SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
0.000000,0.000000,3.869490,18.882823,-17.024750,0.628375,0.136520,-0.025299,0.347273
1.000000,0.000000,3.962195,18.829579,-16.956117,0.624613,0.136457,-0.001805,0.350174
2.000000,0.000000,3.822125,18.889386,-16.826186,0.629512,0.136833,-0.020774,0.345339
3.000000,0.000000,3.804569,18.887624,-16.877142,0.626132,0.135312,-0.001611,0.348563
4.000000,0.000000,3.981532,18.841539,-16.782021,0.624734,0.133736,-0.019466,0.343083
5.000000,0.000000,3.940459,18.851034,-16.974686,0.629333,0.138334,0.001836,0.349852
6.000000,0.000000,3.797612,18.826848,-16.912463,0.626942,0.141616,-0.017855,0.349207
7.000000,0.000000,3.901639,18.841562,-16.941970,0.628701,0.138265,0.006436,0.364035
8.000000,0.000000,3.980254,18.849775,-16.906662,0.625816,0.135400,-0.013489,0.343405
9.000000,0.000000,3.861968,18.847998,-16.884872,0.630907,0.137772,-0.010264,0.354365
10.000000,0.000000,3.905867,18.780349,-16.861394,0.624219,0.140783,0.002191,0.351141
11.000000,0.000000,3.804942,18.915465,-16.756199,0.631915,0.143282,-0.007246,0.350497
12.000000,0.000000,3.936131,18.851275,-16.868715,0.625871,0.140513,-0.019952,0.347918
13.000000,0.000000,3.893091,18.848126,-16.901549,0.632558,0.138984,-0.003067,0.349852
14.000000,0.000000,3.851472,18.885501,-16.888712,0.628338,0.140574,-0.012978,0.347273
15.000000,0.000000,3.921411,18.842017,-16.798546,0.632528,0.140385,-0.018821,0.349530
16.000000,0.000000,3.953232,18.799693,-16.962587,0.630659,0.142752,-0.003650,0.347595
17.000000,0.000000,3.852554,18.829439,-17.095574,0.628705,0.142703,-0.012161,0.346951
18.000000,0.000000,4.005154,18.782582,-16.886176,0.627874,0.140843,-0.011359,0.349207
19.000000,0.000000,3.995194,18.835589,-16.912731,0.628973,0.140104,-0.009737,0.347595
20.000000,0.000000,3.863805,18.855572,-16.903830,0.629632,0.143729,-0.004053,0.327932
21.000000,0.000000,3.918795,18.847455,-16.892373,0.625576,0.142870,-0.009567,0.348885
22.000000,0.000000,3.898686,18.881384,-16.880166,0.630425,0.141598,-0.011559,0.349207
23.000000,0.000000,3.851739,18.878145,-16.966844,0.626799,0.137104,-0.002157,0.349207
24.000000,0.000000,3.865909,18.875903,-16.851715,0.630050,0.136738,-0.011286,0.348885
25.000000,0.000000,3.888617,18.871304,-16.924833,0.626989,0.135941,-0.015297,0.347595
26.000000,0.000000,3.883607,18.808207,-16.884108,0.628779,0.137066,-0.007705,0.347918
27.000000,0.000000,3.815605,18.826010,-16.894841,0.630142,0.136325,-0.010539,0.350819
28.000000,0.000000,3.975631,18.770215,-16.807429,0.628604,0.136398,-0.018740,0.348885
29.000000,0.000000,4.022749,18.792684,-16.865971,0.629819,0.137253,-0.005622,0.347595
30.000000,0.000000,3.859181,18.783557,-17.048342,0.630472,0.140960,-0.012925,0.350819
31.000000,0.000000,3.929215,18.834246,-16.869888,0.630096,0.143674,-0.003964,0.348563
32.000000,0.000000,3.953519,18.784206,-16.922798,0.627618,0.138167,-0.009883,0.348240
33.000000,0.000000,3.861242,18.927738,-16.834391,0.631852,0.138681,-0.010259,0.357266
34.000000,0.000000,3.852069,18.879095,-16.991751,0.627765,0.137950,-0.001276,0.348885
35.000000,0.000000,3.886725,18.837726,-16.842196,0.629857,0.137189,-0.016782,0.349207
36.000000,0.000000,3.901768,18.871273,-16.913612,0.625794,0.139092,-0.000913,0.345984
37.000000,0.000000,3.862952,18.873626,-16.878239,0.632382,0.136777,-0.011841,0.357588
38.000000,0.000000,3.943007,18.822847,-16.800084,0.630117,0.137994,-0.003593,0.349852
39.000000,0.000000,3.960398,18.781088,-16.893885,0.626925,0.141072,-0.017812,0.348240
40.000000,0.000000,3.947951,18.726503,-16.862128,0.627378,0.141141,-0.004602,0.348563
41.000000,0.000000,3.819619,18.800608,-16.927528,0.627347,0.143781,-0.012103,0.353398
42.000000,0.000000,3.953765,18.760031,-16.979118,0.628075,0.140842,-0.008271,0.349852
43.000000,0.000000,4.030134,18.778073,-17.103429,0.627689,0.139371,-0.016583,0.349852
44.000000,0.000000,3.935115,18.828415,-16.847732,0.630002,0.140184,-0.008018,0.351141
45.000000,0.000000,3.876027,18.861506,-16.920192,0.626647,0.141682,-0.004923,0.349207
46.000000,0.000000,3.953280,18.829905,-16.836467,0.631028,0.142806,-0.019104,0.342116
47.000000,0.000000,3.937548,18.867728,-16.880709,0.628361,0.139405,-0.006266,0.349530
48.000000,0.000000,3.847948,18.861754,-16.818642,0.631743,0.138144,-0.009135,0.349852
49.000000,0.000000,3.926972,18.806569,-16.840011,0.630205,0.139715,-0.010042,0.355332
50.000000,0.000000,3.987461,18.766867,-16.907054,0.630472,0.138795,-0.008322,0.348885
51.000000,0.000000,3.840173,18.810276,-16.832594,0.631632,0.141076,-0.011150,0.345339
52.000000,0.000000,3.898974,18.765443,-16.800850,0.631535,0.138970,-0.005027,0.349852
53.000000,0.000000,3.978280,18.788611,-16.835347,0.634710,0.137698,-0.016112,0.348885
54.000000,0.000000,3.959945,18.777037,-16.907348,0.630352,0.138697,-0.009889,0.352431
55.000000,0.000000,3.880754,18.794373,-16.925430,0.633582,0.141268,-0.003060,0.354365
56.000000,0.000000,3.957348,18.771881,-16.863163,0.628434,0.139288,-0.019558,0.348885
57.000000,0.000000,3.987204,18.815261,-16.943549,0.633391,0.137670,-0.004395,0.345984
58.000000,0.000000,3.842601,18.905051,-16.778343,0.631290,0.136233,-0.010152,0.353398
59.000000,0.000000,3.871931,18.858671,-16.833619,0.631273,0.138969,-0.012304,0.363391
60.000000,0.000000,3.920464,18.782085,-16.817575,0.629149,0.136817,-0.005320,0.349530
61.000000,0.000000,3.828146,18.816682,-16.926715,0.626992,0.135402,-0.011835,0.348885
62.000000,0.000000,3.915437,18.770203,-16.898825,0.628348,0.138668,-0.004700,0.349207
63.000000,0.000000,3.933631,18.771659,-16.739215,0.624792,0.136654,-0.010995,0.348563
64.000000,0.000000,3.910394,18.748444,-16.928003,0.626956,0.142261,-0.004684,0.350819
65.000000,0.000000,3.910803,18.783557,-16.921322,0.628584,0.140387,-0.018923,0.350497
66.000000,0.000000,3.925218,18.840954,-16.709512,0.627512,0.144540,0.002714,0.353398
67.000000,0.000000,3.905783,18.781112,-16.896963,0.628768,0.140044,-0.017352,0.349207
68.000000,0.000000,3.922938,18.877566,-16.895881,0.629942,0.141562,-0.015593,0.350174
69.000000,0.000000,3.874916,18.863179,-17.158436,0.629287,0.139150,0.003841,0.349530
70.000000,0.000000,3.894145,18.854296,-16.806208,0.629392,0.138663,-0.027014,0.349207
71.000000,0.000000,4.002297,18.821004,-16.895748,0.628071,0.140177,-0.004144,0.349207
72.000000,0.000000,3.921451,18.841113,-16.863463,0.629229,0.140610,-0.010734,0.347918
73.000000,0.000000,3.822688,18.867835,-16.873387,0.630672,0.141979,-0.004624,0.352753
74.000000,0.000000,4.006121,18.787846,-16.856823,0.632403,0.139021,-0.020433,0.351464
75.000000,0.000000,3.922964,18.791678,-16.891637,0.628346,0.137593,-0.000529,0.348885
76.000000,0.000000,3.811521,18.770372,-16.951729,0.628567,0.136886,-0.012255,0.349852
77.000000,0.000000,3.852106,18.837796,-16.841423,0.629600,0.138908,-0.010431,0.346951
78.000000,0.000000,3.974485,18.785756,-16.840756,0.626168,0.135681,-0.006348,0.349852
79.000000,0.000000,3.780554,18.855539,-16.817110,0.633241,0.132840,-0.012714,0.349852
80.000000,0.000000,3.868367,18.799942,-16.943404,0.627500,0.135634,-0.005517,0.349207
