SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
66.000000,0.000000,4.271480,17.883215,-10.054347,0.688041,0.150636,-0.006254,0.023312
67.000000,0.000000,4.374464,17.900828,-10.002688,0.685196,0.148971,-0.001872,0.024924
68.000000,0.000000,4.397400,17.963181,-9.972927,0.689671,0.148201,0.004033,0.023635
69.000000,0.000000,4.355197,17.929877,-10.103843,0.687445,0.150026,0.003534,0.023635
70.000000,0.000000,4.340613,17.912394,-10.028766,0.688879,0.150678,-0.005135,0.023957
71.000000,0.000000,4.357010,17.908870,-10.037550,0.689057,0.150634,0.001912,0.003004
72.000000,0.000000,4.395355,17.904755,-9.965403,0.688738,0.146352,-0.002905,0.023635
73.000000,0.000000,4.409882,17.965629,-10.080489,0.687862,0.147672,0.005088,0.022990
74.000000,0.000000,4.311435,17.949738,-10.078266,0.687925,0.150991,-0.004364,0.023312
75.000000,0.000000,4.296365,17.921046,-9.977598,0.686589,0.151238,-0.002122,0.028792
76.000000,0.000000,4.371406,17.889239,-10.017459,0.686503,0.151860,-0.003439,0.026536
77.000000,0.000000,4.398427,17.933935,-10.028726,0.686082,0.147808,-0.004304,0.023957
78.000000,0.000000,4.396591,17.948817,-9.968975,0.687882,0.151191,0.004029,0.023635
79.000000,0.000000,4.342440,17.916125,-10.011261,0.687256,0.150808,0.000177,0.025891
80.000000,0.000000,4.320098,17.955341,-10.045310,0.688209,0.150773,-0.002369,0.023312
81.000000,0.000000,4.292103,17.907172,-10.011362,0.686196,0.150546,-0.003260,0.022990
82.000000,0.000000,4.355273,17.913102,-10.054128,0.686749,0.149195,0.002634,0.023957
83.000000,0.000000,4.393899,17.949316,-9.993454,0.687214,0.150755,-0.003155,0.024602
84.000000,0.000000,4.361324,17.909509,-10.111311,0.686284,0.149635,-0.002232,0.024279
85.000000,0.000000,4.340107,17.892468,-10.093469,0.686522,0.152215,0.007411,0.023957
86.000000,0.000000,4.369179,17.923464,-10.061894,0.690220,0.151317,-0.005410,0.023312
87.000000,0.000000,4.376065,17.955133,-9.979022,0.689373,0.150295,-0.001565,0.022023
88.000000,0.000000,4.367330,17.939075,-10.086129,0.688294,0.150879,-0.004101,0.022990
89.000000,0.000000,4.364502,17.928919,-9.994871,0.686694,0.149835,0.001742,0.023312
90.000000,0.000000,4.306257,17.911008,-10.046173,0.688364,0.150521,-7.572440E-5,0.023312
91.000000,0.000000,4.319216,17.934805,-10.029016,0.687941,0.150516,0.000780,0.023635
92.000000,0.000000,4.347551,17.938853,-10.003975,0.687760,0.149753,-0.001550,0.025246
93.000000,0.000000,4.363844,17.898036,-10.045106,0.687783,0.149798,-0.006730,0.023957
94.000000,0.000000,4.391119,17.903570,-9.962245,0.687070,0.149409,0.007172,0.018799
95.000000,0.000000,4.350344,17.976432,-10.026900,0.688465,0.152717,0.003808,0.024924
96.000000,0.000000,4.318004,17.951372,-10.068997,0.688205,0.151619,-0.009838,0.022668
97.000000,0.000000,4.347110,17.958156,-10.096871,0.691070,0.151311,0.005426,0.022990
98.000000,0.000000,4.387904,17.888340,-10.213266,0.687497,0.147522,-0.009250,0.022668
99.000000,0.000000,4.410510,17.914724,-10.077001,0.687284,0.151084,0.004787,0.022990
100.000000,0.000000,4.348773,17.903349,-10.035008,0.688081,0.152426,-0.002690,0.024279
101.000000,0.000000,4.324303,17.957828,-9.977248,0.685832,0.151344,0.008382,0.024602
102.000000,0.000000,4.307650,17.921620,-10.109852,0.687856,0.152865,-0.005502,0.022345
103.000000,0.000000,4.356772,17.906795,-9.961434,0.686660,0.149801,-0.002022,0.025246
104.000000,0.000000,4.352292,17.932248,-10.029843,0.689329,0.150128,0.001486,0.025891
105.000000,0.000000,4.381027,17.917343,-10.001925,0.684953,0.148872,-0.009065,0.018477
106.000000,0.000000,4.381746,17.962249,-9.997822,0.689415,0.148812,0.009090,0.023957
107.000000,0.000000,4.310375,17.906312,-10.070466,0.685735,0.149136,-0.003241,0.022990
108.000000,0.000000,4.340583,17.900770,-10.011206,0.687330,0.150384,-0.007456,0.023957
109.000000,0.000000,4.345061,17.966076,-10.085695,0.685765,0.150282,0.001236,0.023635
110.000000,0.000000,4.377728,17.907813,-10.052035,0.688863,0.151921,-0.004994,0.002360
111.000000,0.000000,4.378906,17.957920,-10.005093,0.688686,0.148961,0.002473,0.024924
112.000000,0.000000,4.351953,17.931613,-9.970118,0.687898,0.150441,-0.000275,0.023635
113.000000,0.000000,4.333366,17.910383,-10.105335,0.687904,0.149006,0.001234,0.023312
114.000000,0.000000,4.341400,17.931223,-10.013350,0.687175,0.148684,0.002337,0.023312
115.000000,0.000000,4.279852,17.946288,-10.022425,0.689009,0.149571,-0.004958,0.026214
116.000000,0.000000,4.293527,17.932180,-10.037227,0.685533,0.149666,0.004097,0.022990
117.000000,0.000000,4.388615,17.987182,-10.082778,0.688817,0.145787,-7.675854E-5,0.025246
118.000000,0.000000,4.307623,17.937224,-10.085449,0.688264,0.152459,-0.005510,0.023957
119.000000,0.000000,4.358563,17.884294,-9.940174,0.688708,0.147246,-0.002763,0.025569
120.000000,0.000000,4.385334,17.875086,-10.019906,0.687018,0.149558,-0.002015,0.022990
121.000000,0.000000,4.368122,17.933909,-10.037446,0.688400,0.150506,0.007958,0.023312
122.000000,0.000000,4.336375,17.943580,-9.990154,0.688744,0.147039,-0.008462,0.021701
123.000000,0.000000,4.370230,17.925036,-10.055043,0.687369,0.148156,-0.000103,0.024924
124.000000,0.000000,4.343025,17.913666,-10.087905,0.686306,0.148161,-0.003245,0.023957
125.000000,0.000000,4.368511,17.916290,-10.019991,0.686546,0.149773,0.004051,0.023957
126.000000,0.000000,4.313155,17.954744,-10.123074,0.689357,0.149554,0.007029,0.023957
127.000000,0.000000,4.331751,17.921077,-10.019453,0.687111,0.150192,-0.010175,0.023635
128.000000,0.000000,4.370468,17.922690,-10.077931,0.688784,0.151580,0.002222,0.022990
129.000000,0.000000,4.406270,17.861561,-10.037872,0.687111,0.147421,-0.008644,0.022668
130.000000,0.000000,4.385504,17.954732,-10.046148,0.687943,0.149574,0.009542,0.023312
131.000000,0.000000,4.316386,17.947350,-10.055988,0.689980,0.149690,-0.001500,0.023957
132.000000,0.000000,4.306983,17.935682,-10.043444,0.686346,0.151332,-0.007267,0.023957
133.000000,0.000000,4.366926,17.922745,-9.987394,0.688276,0.149674,-0.002436,0.023957
134.000000,0.000000,4.385640,17.868733,-10.061348,0.686022,0.148938,-0.004445,0.022668
135.000000,0.000000,4.366381,17.962000,-10.154498,0.688768,0.150745,0.012927,0.022990
136.000000,0.000000,4.316587,17.973688,-10.105517,0.690091,0.150077,-0.003045,0.024924
137.000000,0.000000,4.278185,17.939386,-9.985338,0.688698,0.153763,6.662717E-5,0.023312
138.000000,0.000000,4.335848,17.859137,-10.027306,0.684484,0.148969,-0.010492,0.023312
139.000000,0.000000,4.421847,17.921224,-10.096264,0.685679,0.147361,0.009099,0.023635
140.000000,0.000000,4.332639,18.005723,-10.045919,0.688571,0.150201,-5.471810E-5,0.023635
141.000000,0.000000,4.308740,17.986632,-9.952513,0.686190,0.150674,-0.001544,0.024279
142.000000,0.000000,4.323581,17.917438,-10.077220,0.688748,0.152122,-0.009990,0.024602
143.000000,0.000000,4.378237,17.914106,-10.067715,0.683747,0.149576,-0.002411,0.022023
144.000000,0.000000,4.415807,17.889063,-10.004408,0.687397,0.148503,0.003867,0.024602
145.000000,0.000000,4.374971,17.954789,-10.026331,0.686583,0.151098,-0.003271,0.023312
146.000000,0.000000,4.296862,17.965315,-10.040213,0.691578,0.150539,0.003693,0.022023
147.000000,0.000000,4.320997,17.889929,-9.959927,0.685295,0.150639,-0.007626,0.023312
148.000000,0.000000,4.365390,17.897753,-10.065481,0.689369,0.147957,0.005656,0.023312
149.000000,0.000000,4.379567,17.989786,-10.070749,0.689115,0.150045,-6.736907E-5,0.003649
150.000000,0.000000,4.360072,17.995500,-10.102799,0.687785,0.150818,0.000247,0.025891
151.000000,0.000000,4.310491,17.922528,-10.010997,0.685921,0.150317,-0.004128,0.023957
152.000000,0.000000,4.376077,17.842606,-10.025231,0.684068,0.150626,-0.005909,0.023957
153.000000,0.000000,4.389162,17.927368,-10.102507,0.688392,0.151327,0.000788,0.022345
154.000000,0.000000,4.403140,17.912148,-10.012658,0.687923,0.148789,1.399333E-6,0.023957
155.000000,0.000000,4.359756,17.970397,-10.070831,0.689096,0.150726,0.004829,0.022668
156.000000,0.000000,4.319637,17.917642,-10.036380,0.686339,0.150196,-0.002680,0.023957
157.000000,0.000000,4.326318,17.893376,-10.003291,0.687460,0.150427,-0.005729,0.023312
158.000000,0.000000,4.421272,17.916295,-10.061874,0.686358,0.148085,-0.001855,0.025569
159.000000,0.000000,4.377535,17.938175,-10.062860,0.687992,0.149510,0.006527,0.024602
160.000000,0.000000,4.333954,17.944330,-10.000352,0.688330,0.154206,-0.001388,0.023312
161.000000,0.000000,4.302883,17.920239,-10.045816,0.690370,0.152293,-0.000494,0.027503
162.000000,0.000000,4.339434,17.890547,-10.010692,0.686260,0.150393,-0.005447,0.023957
163.000000,0.000000,4.413936,17.938478,-10.102789,0.687094,0.150171,0.006963,0.023635
164.000000,0.000000,4.353593,17.963052,-10.047611,0.690651,0.149534,-0.001514,0.023312
165.000000,0.000000,4.297977,17.941692,-9.984319,0.686873,0.152629,-0.007432,0.023312
166.000000,0.000000,4.304371,17.900834,-10.029026,0.686811,0.150264,0.003218,0.023635
167.000000,0.000000,4.381128,17.924113,-10.085377,0.686243,0.149827,-0.006998,0.024924
168.000000,0.000000,4.316985,17.994597,-10.071152,0.688658,0.150818,0.006152,0.026214
169.000000,0.000000,4.340452,17.921987,-10.010714,0.687356,0.150813,-0.008023,0.022345
170.000000,0.000000,4.340222,17.922374,-10.103376,0.686404,0.150203,0.005263,0.022668
171.000000,0.000000,4.355404,17.869828,-10.054136,0.686736,0.148307,-0.009903,0.022668
172.000000,0.000000,4.379121,17.939418,-9.987049,0.684198,0.147799,0.008344,0.023312
173.000000,0.000000,4.329834,17.943174,-9.998773,0.689191,0.147704,-0.001688,0.023957
174.000000,0.000000,4.358412,17.895157,-10.026592,0.685870,0.150426,-0.007749,0.022990
175.000000,0.000000,4.340456,17.939144,-10.038711,0.688914,0.149993,0.008261,0.023635
176.000000,0.000000,4.382442,17.879475,-9.983906,0.684042,0.149418,-0.013263,0.022990
177.000000,0.000000,4.392142,17.983888,-10.096528,0.690213,0.150328,0.006418,0.022668
178.000000,0.000000,4.373756,17.897439,-9.988353,0.688921,0.148730,-0.006765,0.017510
179.000000,0.000000,4.327632,17.903351,-10.062941,0.687327,0.149678,0.003802,0.022668
180.000000,0.000000,4.282876,17.892848,-10.027711,0.686970,0.151801,-0.001089,0.022345
181.000000,0.000000,4.329605,17.898189,-9.995492,0.688674,0.151133,0.000460,0.024924
182.000000,0.000000,4.352466,17.983921,-10.062874,0.689033,0.149805,-0.002077,0.023957
183.000000,0.000000,4.339473,17.916639,-10.052443,0.686357,0.150218,-0.006567,0.026214
184.000000,0.000000,4.341048,17.944306,-10.046410,0.688992,0.150547,0.006398,0.026536
185.000000,0.000000,4.373130,17.887848,-10.025104,0.686277,0.151960,-0.009049,0.024279
186.000000,0.000000,4.365750,17.924492,-10.114178,0.689494,0.149198,0.003680,0.025891
187.000000,0.000000,4.368209,17.900845,-9.968868,0.687328,0.150649,-0.007059,0.022668
188.000000,0.000000,4.369277,17.927865,-10.054184,0.688579,0.150333,0.005087,0.010418
189.000000,0.000000,4.329162,17.901258,-10.037989,0.686836,0.148802,-0.001828,0.023312
190.000000,0.000000,4.299246,17.946062,-10.020675,0.687351,0.150623,0.003522,0.023635
191.000000,0.000000,4.335231,17.952944,-10.063460,0.690304,0.150455,-0.002075,0.023635
192.000000,0.000000,4.365359,17.943126,-10.020779,0.686641,0.148514,-0.001697,0.025569
193.000000,0.000000,4.376132,17.922839,-10.088114,0.688547,0.149067,-0.001523,0.024602
194.000000,0.000000,4.387161,17.898743,-10.009968,0.684237,0.149377,0.000139,0.022990
195.000000,0.000000,4.337899,17.923984,-10.064066,0.688754,0.149134,0.002368,0.022023
196.000000,0.000000,4.304793,17.942100,-10.011677,0.686610,0.150402,-0.000519,0.023635
197.000000,0.000000,4.329286,17.896926,-10.005402,0.688174,0.149128,0.000459,0.023635
198.000000,0.000000,4.373686,17.911900,-10.096877,0.687727,0.147495,-0.009297,0.023957
199.000000,0.000000,4.403094,17.913828,-10.105692,0.689847,0.149038,0.003943,0.022990
0.000000,0.000000,4.361776,17.904277,-10.136604,0.686702,0.149615,-0.002507,0.023635
1.000000,0.000000,4.326723,17.971524,-10.005083,0.687648,0.149161,0.003651,0.025246
2.000000,0.000000,4.301866,17.933903,-10.060943,0.687022,0.151253,-0.004376,0.024602
3.000000,0.000000,4.318917,17.907747,-10.046075,0.686908,0.149499,0.001063,0.025891
4.000000,0.000000,4.389926,17.850421,-10.105154,0.686734,0.147444,-0.001122,0.023312
5.000000,0.000000,4.327586,17.945117,-9.986421,0.686878,0.150576,0.000898,0.022990
6.000000,0.000000,4.327766,17.934800,-10.037382,0.687471,0.150119,0.002074,0.024602
7.000000,0.000000,4.298222,17.888088,-9.994685,0.686679,0.150624,-0.006012,0.024602
8.000000,0.000000,4.352025,17.916564,-10.036348,0.687982,0.151109,0.000620,0.023635
9.000000,0.000000,4.373662,17.945552,-10.001921,0.686914,0.151147,0.001751,0.023957
10.000000,0.000000,4.350235,17.929349,-10.079087,0.690518,0.151400,-0.003806,0.023957
11.000000,0.000000,4.337187,17.976284,-10.054661,0.687979,0.149422,0.000510,0.023957
12.000000,0.000000,4.323791,17.868738,-10.027012,0.687201,0.151281,-0.011335,0.023957
13.000000,0.000000,4.391579,17.919954,-9.988337,0.688683,0.149403,0.008058,0.023312
14.000000,0.000000,4.329084,17.940784,-10.055378,0.689900,0.150400,0.002379,0.022990
15.000000,0.000000,4.300980,17.971645,-10.010956,0.687687,0.151739,-0.002372,0.022668
16.000000,0.000000,4.384197,17.959274,-10.020255,0.687321,0.149146,-0.002128,0.022345
17.000000,0.000000,4.377222,17.941679,-10.045942,0.687599,0.148346,-0.007731,0.026536
18.000000,0.000000,4.389737,17.914817,-10.020906,0.686743,0.149103,0.010372,0.023635
19.000000,0.000000,4.377566,17.932639,-10.070017,0.688451,0.150048,-0.006564,0.023635
20.000000,0.000000,4.320711,17.961552,-10.068899,0.687332,0.152478,0.008153,0.023957
21.000000,0.000000,4.311681,17.911841,-10.061519,0.686757,0.150272,-0.005542,0.022668
22.000000,0.000000,4.383902,17.900209,-9.998586,0.682647,0.150960,-0.007060,0.036206
23.000000,0.000000,4.438732,17.901446,-9.978629,0.686610,0.148230,0.002405,0.024602
24.000000,0.000000,4.373785,17.960578,-10.003322,0.687319,0.149864,0.001323,0.023635
25.000000,0.000000,4.295230,17.987756,-10.068883,0.689073,0.153649,0.003144,0.023957
26.000000,0.000000,4.285272,17.889109,-10.027082,0.685307,0.150447,-0.011460,0.021378
27.000000,0.000000,4.356584,17.897574,-10.053147,0.687287,0.150464,0.000473,0.011385
28.000000,0.000000,4.382676,17.930636,-10.017522,0.686750,0.152169,0.003047,0.023957
29.000000,0.000000,4.380681,17.890212,-10.027510,0.688386,0.151482,1.935590E-5,0.022668
30.000000,0.000000,4.304671,17.928923,-9.977303,0.688092,0.152877,0.003353,0.023312
31.000000,0.000000,4.331359,17.874815,-10.043057,0.686335,0.151461,-0.008019,0.024279
32.000000,0.000000,4.383950,17.897145,-10.061374,0.686821,0.149836,0.000895,0.024924
33.000000,0.000000,4.401443,17.970579,-10.020498,0.687449,0.148945,0.001465,0.025891
34.000000,0.000000,4.351895,17.968566,-10.053389,0.688145,0.150525,-0.001224,0.023635
35.000000,0.000000,4.319827,17.945112,-10.052784,0.687624,0.151337,-0.002081,0.022668
36.000000,0.000000,4.372920,17.859190,-10.054102,0.685899,0.147663,-0.007903,0.023635
37.000000,0.000000,4.376929,17.933901,-9.976329,0.686757,0.151991,0.006194,0.023957
38.000000,0.000000,4.357819,17.911559,-10.029844,0.687912,0.148752,-0.002991,0.022668
39.000000,0.000000,4.345910,17.939202,-10.094994,0.686146,0.149555,0.000655,0.023635
40.000000,0.000000,4.323235,17.923048,-10.045678,0.688506,0.151183,0.004384,0.024924
41.000000,0.000000,4.374923,17.901105,-10.018799,0.685450,0.149668,-0.002724,0.022668
42.000000,0.000000,4.395759,17.947911,-10.020200,0.688383,0.149433,-0.006596,0.024924
43.000000,0.000000,4.399332,17.913738,-10.071407,0.687733,0.148072,-0.002845,0.022990
44.000000,0.000000,4.367652,17.922259,-10.029764,0.687305,0.149080,0.007801,0.023635
45.000000,0.000000,4.310398,17.892869,-10.044672,0.687215,0.151317,0.000202,0.023312
46.000000,0.000000,4.307112,17.931702,-10.038386,0.689320,0.150379,-0.001942,0.023312
47.000000,0.000000,4.367899,17.919455,-9.994372,0.685440,0.148467,-0.010646,0.023312
48.000000,0.000000,4.398789,17.893345,-9.965183,0.689062,0.147181,0.001985,0.022668
49.000000,0.000000,4.366783,17.921287,-10.046289,0.685647,0.148063,0.007372,0.023312
50.000000,0.000000,4.298773,17.936245,-10.110758,0.686338,0.151697,0.003855,0.022990
51.000000,0.000000,4.281559,17.936793,-10.121102,0.690137,0.151625,-0.007204,0.023957
52.000000,0.000000,4.379103,17.879581,-10.009444,0.687585,0.151623,-0.010356,0.022990
53.000000,0.000000,4.415471,17.916348,-10.106042,0.688924,0.148029,0.006668,0.024924
54.000000,0.000000,4.401884,17.923034,-10.045299,0.686888,0.148917,0.001460,0.024602
55.000000,0.000000,4.302419,17.945144,-10.019695,0.688553,0.151863,-0.003814,0.023312
56.000000,0.000000,4.268650,17.942331,-10.079080,0.687334,0.150656,-0.001759,0.023957
57.000000,0.000000,4.349035,17.875791,-10.062090,0.687974,0.150264,-0.002403,0.023957
58.000000,0.000000,4.377903,17.936618,-10.030352,0.687485,0.148092,0.004346,0.024602
59.000000,0.000000,4.329956,17.950514,-10.053679,0.689102,0.151227,-0.002224,0.023312
60.000000,0.000000,4.319212,17.942584,-10.093988,0.690470,0.153324,-0.008668,0.023312
61.000000,0.000000,4.352214,17.908630,-10.041816,0.688775,0.145979,0.001617,0.043298
62.000000,0.000000,4.356048,17.885630,-9.978972,0.686160,0.148800,0.000279,0.023312
63.000000,0.000000,4.355245,17.965513,-10.021806,0.687832,0.148657,0.002061,0.023635
64.000000,0.000000,4.310704,17.980924,-10.106695,0.689214,0.148432,-0.001319,0.023957
65.000000,0.000000,4.306761,17.929888,-9.986751,0.686705,0.149956,-0.005863,0.024924
66.000000,0.000000,4.396831,17.876580,-10.046933,0.685363,0.146397,0.002013,0.017188
67.000000,0.000000,4.397005,17.961967,-10.039426,0.688035,0.147140,0.002335,0.024924
68.000000,0.000000,4.287735,17.947964,-10.046354,0.688805,0.150749,-0.001060,0.023635
69.000000,0.000000,4.311020,17.908575,-10.095030,0.687898,0.151277,-0.001059,0.023635
70.000000,0.000000,4.330058,17.860168,-10.044837,0.687068,0.150643,-0.001979,0.023312
71.000000,0.000000,4.335714,17.939574,-10.029314,0.686338,0.149022,0.003645,0.022668
72.000000,0.000000,4.357640,17.957247,-9.986127,0.685883,0.148893,-0.008615,0.023635
73.000000,0.000000,4.348360,17.937215,-9.979768,0.687495,0.148466,-0.004589,0.024279
74.000000,0.000000,4.361221,17.873235,-10.003775,0.686968,0.149585,0.000865,0.022990
75.000000,0.000000,4.333362,17.874764,-10.052384,0.687010,0.151603,0.001341,0.023312
76.000000,0.000000,4.322924,17.912723,-10.020676,0.688368,0.151206,0.005518,0.023957
77.000000,0.000000,4.341569,17.926504,-9.986395,0.688110,0.150391,-0.010337,0.022990
78.000000,0.000000,4.353766,17.952818,-10.088322,0.688868,0.150226,0.009439,0.023635
79.000000,0.000000,4.318660,17.845547,-10.044666,0.687381,0.150770,-0.008310,0.024602
80.000000,0.000000,4.339318,17.934226,-10.028061,0.686983,0.151136,0.008397,0.023635
81.000000,0.000000,4.348335,17.970605,-10.071724,0.689344,0.149566,-0.002363,0.022990
82.000000,0.000000,4.381116,17.966843,-10.052591,0.687683,0.150152,-0.006421,0.024279
83.000000,0.000000,4.364825,17.928686,-10.045462,0.686944,0.149369,0.001337,0.026214
84.000000,0.000000,4.377388,17.846638,-10.076786,0.684839,0.149291,-0.008616,0.022668
85.000000,0.000000,4.383870,17.946623,-9.956884,0.691572,0.149404,0.007341,0.022990
86.000000,0.000000,4.382206,17.895945,-10.071180,0.686586,0.147400,-0.008460,0.026214
87.000000,0.000000,4.358810,17.937474,-10.011790,0.686556,0.149755,0.004346,0.023957
88.000000,0.000000,4.333279,17.925749,-9.986695,0.686887,0.150073,-0.001414,0.022990
89.000000,0.000000,4.357872,17.900279,-10.086218,0.685937,0.149254,-0.006134,0.023635
90.000000,0.000000,4.341911,17.948221,-10.053523,0.687887,0.150651,0.001507,0.023635
91.000000,0.000000,4.350834,17.957930,-10.021537,0.687978,0.149141,0.002062,0.022345
92.000000,0.000000,4.361027,17.947779,-10.052152,0.687436,0.151263,-0.001092,0.028792
93.000000,0.000000,4.337827,17.911756,-9.995113,0.686015,0.149288,-0.002140,0.017188
94.000000,0.000000,4.336116,17.893794,-10.093884,0.687520,0.151382,-0.006977,0.023312
95.000000,0.000000,4.397082,17.931637,-10.060055,0.686309,0.150526,0.000613,0.023957
